Damage Type,Confidence (%),Confidence Level,Severity,Location,Damage Size,Estimated Cost,Repair Priority,Recommendation
Dent,45.2,Low,Severe,Center Body,Medium,"₹5,000 - ₹15,000",High,Dent removal and panel inspection recommended.
Dent,72.6,Moderate,Medium,Center Body,Medium,"₹5,000 - ₹15,000",Medium,Dent removal and panel inspection recommended.
